,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trajectories,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,
,,ZED:TOP,,,ZED:BL,,,ZED:BR,,,ZED:FR,,,ZED:FL,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
35,0,-967.786926,670.218262,1046.298584,-1083.515869,804.150146,818.178772,-1092.268433,566.961426,800.61261,-875.297974,584.114868,809.986267,-870.483337,772.778503,807.244873
36,0,-967.789673,670.214233,1046.30835,-1083.525635,804.140015,818.184875,-1092.276123,566.942261,800.621338,-875.303101,584.128052,810.004456,-870.481079,772.765198,807.247559
37,0,-967.806824,670.212769,1046.298584,-1083.521118,804.134949,818.192444,-1092.283936,566.922363,800.621643,-875.318909,584.101685,809.981567,-870.496033,772.737915,807.236877
38,0,-967.820801,670.195007,1046.303955,-1083.53125,804.126709,818.174133,-1092.264771,566.940918,800.582825,-875.326355,584.086914,809.994507,-870.489807,772.761658,807.252319
39,0,-967.825806,670.187256,1046.30188,-1083.54541,804.107666,818.180847,-1092.261353,566.917725,800.598877,-875.326904,584.089966,809.990845,-870.498535,772.751709,807.249512
40,0,-967.8302,670.182495,1046.298218,-1083.545044,804.11322,818.193176,-1092.311646,567.046753,800.551147,-875.333008,584.07373,809.988831,-870.511108,772.734314,807.260437
41,0,-967.836792,670.182129,1046.299072,-1083.551758,804.105042,818.186035,-1092.275146,566.984253,800.519592,-875.348022,584.085205,809.986328,-870.520264,772.730896,807.238464
42,0,-967.859375,670.16217,1046.306763,-1083.575195,804.083191,818.180237,-1092.339355,567.028076,800.535339,-875.349854,584.073914,809.988586,-870.52417,772.708679,807.24054
43,0,-967.858154,670.165161,1046.301514,-1083.576172,804.085144,818.182068,-1092.263794,566.97345,800.534546,-875.342346,584.080994,809.993774,-870.529663,772.727173,807.260315
44,0,-967.860229,670.155334,1046.301392,-1083.581299,804.080261,818.181763,-1092.255493,566.960754,800.530029,-875.363281,584.068909,809.987976,-870.521118,772.73468,807.251709
45,0,-967.860718,670.164734,1046.302734,-1083.585083,804.079529,818.187195,-1092.337524,567.009399,800.555298,-875.372559,584.058533,809.983948,-870.441162,772.737061,807.299683
46,0,-967.870239,670.159485,1046.311157,-1083.583618,804.079773,818.180603,-1092.327759,567.022217,800.550293,-875.366821,584.070374,809.992554,-870.546936,772.717224,807.239502
47,0,-967.87854,670.157288,1046.302002,-1083.589966,804.076477,818.181458,-1092.264648,566.965942,800.51825,-875.368958,584.07019,809.986877,-870.564636,772.738281,807.248291
48,0,-967.8797,670.153992,1046.302368,-1083.605103,804.067261,818.176453,-1092.275146,566.974304,800.524597,-875.37384,584.075928,809.988159,-870.56958,772.713135,807.238708
49,0,-967.897583,670.141785,1046.303833,-1083.595093,804.071411,818.175049,-1092.338867,567.032776,800.536926,-875.367371,584.08905,809.988464,-870.475952,772.741821,807.29364
50,0,-967.894897,670.151428,1046.303711,-1083.604614,804.068665,818.176147,-1092.287964,566.989502,800.523621,-875.372986,584.070923,809.992554,-870.475891,772.752258,807.294922
51,0,-967.910828,670.151245,1046.311035,-1083.601196,804.068848,818.17865,-1092.303955,566.981506,800.526428,-875.363098,584.082642,809.991516,-870.583191,772.746033,807.258179
52,0,-967.900452,670.17041,1046.303955,-1083.609985,804.074707,818.170471,-1092.29126,566.973877,800.515686,-875.384399,584.08551,809.988464,-870.582703,772.743042,807.257874
53,0,-967.914001,670.17572,1046.300049,-1083.62146,804.073792,818.16748,-1092.302979,566.978516,800.508606,-875.386292,584.088257,809.992676,-870.56604,772.76886,807.254333
54,0,-967.917664,670.184998,1046.310425,-1083.624268,804.08313,818.171143,-1092.315796,567.001831,800.531921,-875.393555,584.087891,809.988159,-870.5849,772.739319,807.261902
55,0,-967.915283,670.184937,1046.310059,-1083.633057,804.096985,818.174438,-1092.370239,567.051453,800.536743,-875.388489,584.101868,809.997437,-870.591003,772.721802,807.247131
56,0,-967.923401,670.190552,1046.311279,-1083.640747,804.094116,818.174683,-1092.295898,566.997192,800.521057,-875.397095,584.101929,809.988281,-870.50946,772.757019,807.294067
57,0,-967.912109,670.207947,1046.312866,-1083.647705,804.109192,818.171204,-1092.299805,566.983582,800.527649,-875.382507,584.117737,810.000305,-870.500854,772.76825,807.311951
58,0,-967.920654,670.19873,1046.305054,-1083.643799,804.092407,818.167603,-1092.295532,566.988281,800.52124,-875.395264,584.112244,809.997742,-870.606628,772.773987,807.248413
59,0,-967.918274,670.204041,1046.313843,-1083.64978,804.10675,818.171387,-1092.28125,566.982666,800.526672,-875.392578,584.115662,810.00177,-870.497986,772.807739,807.301086
60,0,-967.921631,670.203918,1046.302002,-1083.651123,804.105408,818.157593,-1092.29248,566.997498,800.524719,-875.387817,584.120117,810.002014,-870.61377,772.789124,807.265625
61,0,-967.930969,670.200378,1046.31311,-1083.647095,804.113159,818.171875,-1092.314087,566.997864,800.541626,-875.393188,584.111511,810.005798,-870.507874,772.803406,807.296143
62,0,-967.94458,670.208374,1046.300415,-1083.666504,804.093689,818.170166,-1092.333984,566.96637,800.547302,-875.400574,584.122986,810.004395,-870.514648,772.79364,807.316711
63,0,-967.948303,670.204224,1046.299927,-1083.651978,804.102478,818.165894,-1092.399902,567.059265,800.538757,-875.412781,584.111267,810.004761,-870.620056,772.778625,807.25061
64,0,-967.954163,670.202148,1046.307861,-1083.671631,804.118774,818.170959,-1092.336914,567.018066,800.525879,-875.403442,584.122925,810.021667,-870.627441,772.78125,807.26123
65,0,-967.972473,670.201172,1046.300171,-1083.69043,804.099854,818.168396,-1092.327271,566.995361,800.528015,-875.420227,584.116333,810.000977,-870.525391,772.796509,807.304993
66,0,-967.969238,670.193176,1046.317871,-1083.688354,804.101807,818.17041,-1092.330933,567.002014,800.512573,-875.42981,584.128662,809.998291,-870.540649,772.794128,807.316528
67,0,-967.980225,670.195496,1046.303223,-1083.691895,804.101074,818.169006,-1092.342163,567.009399,800.522949,-875.428528,584.124695,810.001343,-870.546204,772.800171,807.303589
68,0,-967.994385,670.187866,1046.316528,-1083.69458,804.098572,818.154663,-1092.335327,567.001404,800.518738,-875.429565,584.129028,809.992004,-870.550598,772.790283,807.311523
69,0,-967.992859,670.187805,1046.293457,-1083.694214,804.097412,818.156799,-1092.348999,566.972229,800.533997,-875.442444,584.113342,809.990356,-870.560181,772.767761,807.312988
70,0,-967.99823,670.179749,1046.306152,-1083.713257,804.087463,818.169678,-1092.376587,566.962708,800.549988,-875.446899,584.102905,810.002075,-870.562927,772.751099,807.307678
71,0,-967.997192,670.182739,1046.314697,-1083.701294,804.096191,818.155151,-1092.381592,566.951782,800.553406,-875.437805,584.108459,810.008362,-870.563293,772.800659,807.317139
72,0,-967.995483,670.18634,1046.305542,-1083.717163,804.076233,818.156677,-1092.362671,566.940369,800.537048,-875.447937,584.098877,809.997803,-870.559937,772.778198,807.315063
73,0,-968.010132,670.179321,1046.303833,-1083.715576,804.077148,818.144714,-1092.368042,566.92041,800.561707,-875.45636,584.10968,809.988342,-870.566284,772.76886,807.319031
74,0,-968.025085,670.162231,1046.312744,-1083.724487,804.067078,818.16925,-1092.384644,566.899292,800.554871,-875.456909,584.085205,810.00647,-870.571228,772.773621,807.317871
75,0,-968.02478,670.16449,1046.296631,-1083.717285,804.067932,818.163147,-1092.3927,566.882019,800.540039,-875.460266,584.089355,809.991699,-870.563293,772.764709,807.317993
76,0,-968.034302,670.154541,1046.302368,-1083.719482,804.071594,818.150208,-1092.439087,566.885498,800.584961,-875.471436,584.079895,809.998413,-870.5755,772.773621,807.322754
77,0,-968.040344,670.15033,1046.294556,-1083.754639,804.032349,818.157043,-1092.388184,566.890747,800.536194,-875.462097,584.0896,809.989258,-870.580078,772.765808,807.326355
78,0,-968.049316,670.150879,1046.307007,-1083.748169,804.046143,818.177246,-1092.421753,566.857666,800.591736,-875.468262,584.072144,809.998779,-870.580017,772.761169,807.339233
79,0,-968.042114,670.144104,1046.293457,-1083.751465,804.046814,818.147156,-1092.385132,566.832947,800.555603,-875.460449,584.087341,809.992798,-870.575684,772.741455,807.325989
80,0,-968.071716,670.124207,1046.303223,-1083.74707,804.043091,818.14801,-1092.47168,566.952942,800.505798,-875.484009,584.057434,810.001587,-870.588867,772.753357,807.324036
81,0,-968.057556,670.120239,1046.304688,-1083.760376,804.032898,818.176941,-1092.455444,566.965149,800.50293,-875.476135,584.051758,810.005554,-870.599365,772.755981,807.338196
82,0,-968.075684,670.117798,1046.304443,-1083.769775,804.01825,818.160889,-1092.396118,566.908569,800.478394,-875.481567,584.05127,810.001709,-870.60907,772.739868,807.345764
83,0,-968.077759,670.113892,1046.307739,-1083.781006,804.008301,818.158813,-1092.376587,566.882324,800.479004,-875.484375,584.039917,810.006714,-870.598328,772.715881,807.337036
84,0,-968.090759,670.095398,1046.300537,-1083.785645,804.004333,818.158081,-1092.405151,566.900452,800.47113,-875.494812,584.031677,809.999512,-870.623718,772.737244,807.325867
85,0,-968.086426,670.103027,1046.297485,-1083.779907,804.014221,818.161011,-1092.470093,566.934814,800.502258,-875.505981,584.027466,809.989136,-870.622742,772.70874,807.346375
86,0,-968.098755,670.084229,1046.306641,-1083.805664,803.987061,818.153931,-1092.477173,566.937195,800.48053,-875.490967,584.027039,810.013672,-870.630981,772.715515,807.348816
87,0,-968.106689,670.070923,1046.300171,-1083.806519,803.97644,818.154541,-1092.498657,566.910034,800.485718,-875.521545,584.01593,809.986572,-870.640869,772.703247,807.335388
88,0,-968.110657,670.054688,1046.299561,-1083.810303,803.970398,818.167358,-1092.491943,566.886597,800.48291,-875.52002,584.005981,809.988525,-870.644958,772.687439,807.351685
89,0,-968.126343,670.052856,1046.293579,-1083.810913,803.969849,818.154114,-1092.50769,566.873108,800.503906,-875.517883,584.017273,809.990295,-870.645935,772.703796,807.3526
90,0,-968.138916,670.044006,1046.295532,-1083.827271,803.958313,818.153076,-1092.519775,566.861023,800.514099,-875.528198,583.996582,809.986572,-870.665161,772.680054,807.335693
91,0,-968.141846,670.038696,1046.300659,-1083.825195,803.959656,818.153076,-1092.519653,566.859741,800.519165,-875.541565,583.980896,809.987793,-870.659119,772.68103,807.350708
92,0,-968.143066,670.037415,1046.306396,-1083.831543,803.948608,818.164917,-1092.572144,566.835632,800.532471,-875.535339,583.984863,809.991577,-870.664246,772.679199,807.350769
93,0,-968.153259,670.026489,1046.297363,-1083.830933,803.948669,818.164795,-1092.569214,566.841003,800.537659,-875.53595,583.978271,809.992432,-870.658875,772.659546,807.368347
94,0,-968.17334,670.008362,1046.303589,-1083.841187,803.937805,818.16626,-1092.603516,566.81134,800.575134,-875.551453,583.966614,810.000366,-870.678955,772.667419,807.35376
95,0,-968.176819,670.009033,1046.295288,-1083.861938,803.920776,818.154175,-1092.548706,566.850464,800.492737,-875.562012,583.972778,809.99115,-870.6698,772.665344,807.354126
96,0,-968.181152,670.008362,1046.299072,-1083.861206,803.91864,818.150391,-1092.6427,566.783752,800.608582,-875.567566,583.986816,809.990906,-870.679626,772.660034,807.354553
