Frame,Timestamp,Translation_X,Translation_Y,Translation_Z,Rotation_X,Rotation_Y,Rotation_Z,Pose_Confidence,Tracking_State,Spatial_Memory,Odometry,Tracking_Fusion
0,1761211757261,0.0,0.0,0.0,0.0,0.0,0.0,,,cuVSLAM,,
1,1761211757311,0.0,0.0,0.0,4.656613081244219e-10,3.637978969722046e-12,-4.743384716669902e-20,,,cuVSLAM,,
2,1761211757328,0.0,0.0,0.0,4.656613428188971e-10,3.637979240772634e-12,1.62629931669518e-19,,,cuVSLAM,,
3,1761211757344,0.0,0.0,0.0,9.313227827823422e-10,7.275959240487048e-12,8.63973799312579e-19,,,cuVSLAM,,
4,1761211757361,0.0,0.0,0.0,9.31322907682505e-10,1.0913940324404356e-11,1.1689058852442548e-18,,,cuVSLAM,,
5,1761211757378,0.0,0.0,0.0,9.313221721594221e-10,1.4551922817786017e-11,3.313601235281438e-18,,,cuVSLAM,,
6,1761211757394,0.0,0.0,0.0,1.3969813084084347e-09,1.818990704589394e-11,2.3283023937139867e-10,,,cuVSLAM,,
7,1761211757411,0.0,0.0,0.0,1.3969816206583827e-09,2.1827893333990573e-11,4.6565976768854767e-10,,,cuVSLAM,,
8,1761211757428,0.0,0.0,0.0,1.8626420406027823e-09,2.546588200733901e-11,6.984883227324775e-10,,,cuVSLAM,,
9,1761211757445,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,1.8626407915991567e-09,2.910387339120307e-11,6.984860779959664e-10,,,cuVSLAM,,
10,1761211757461,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,1.862644927185955e-09,3.274186781084742e-11,6.984838540746622e-10,,,cuVSLAM,,
11,1761211757478,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,1.8626491182867276e-09,3.6379865591537646e-11,6.98482095058541e-10,,,cuVSLAM,,
12,1761211757494,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,1.8626498121793336e-09,4.001786705854037e-11,6.984803568576027e-10,,,cuVSLAM,,
13,1761211757511,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,2.328306096531907e-09,4.365587253712332e-11,6.984793056074649e-10,,,cuVSLAM,,
14,1761211757528,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,2.328314208125809e-09,4.365589140235892e-11,6.98478719263517e-10,,,cuVSLAM,,
15,1761211757544,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,2.793971234940092e-09,4.72939041993852e-11,6.98478153735412e-10,,,cuVSLAM,,
16,1761211757561,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,2.793972608848708e-09,5.093192187537998e-11,6.984793853875909e-10,,,cuVSLAM,,
17,1761211757578,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,2.7939811714875453e-09,5.4569944755616124e-11,9.31308849417276e-10,,,cuVSLAM,,
18,1761211757595,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,3.2596464972606153e-09,5.820797316536812e-11,1.1641345941782026e-09,,,cuVSLAM,,
19,1761211757611,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,3.2596483916000755e-09,6.184600742991214e-11,1.396954864113185e-09,,,cuVSLAM,,
20,1761211757628,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,3.725314723528599e-09,6.548404787452615e-11,1.6297710123049334e-09,,,cuVSLAM,,
21,1761211757644,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,3.7253028995839365e-09,6.912209482448995e-11,1.6297551810766819e-09,,,cuVSLAM,,
22,1761211757661,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,3.725291186647322e-09,7.276014860508537e-11,1.6297420629547655e-09,,,cuVSLAM,,
23,1761211757678,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,4.19094486192385e-09,7.639820954159627e-11,1.6297307697574395e-09,,,cuVSLAM,,
24,1761211757694,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,4.190962132986459e-09,8.003627795930871e-11,1.6297195251141713e-09,,,cuVSLAM,,
25,1761211757711,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,4.656602867091741e-09,8.367435418351105e-11,1.6297118817734763e-09,,,cuVSLAM,,
26,1761211757728,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,4.656606544737502e-09,8.731243853949393e-11,1.6297060633667713e-09,,,cuVSLAM,,
27,1761211757745,2.6020823188330667e-15,9.313176341230189e-07,6.158252457849904e-14,5.12227708169355e-09,8.73125100984485e-11,1.62970206989786e-09,,,cuVSLAM,,
