,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trajectories,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,
,,ZED:TOP,,,ZED:BL,,,ZED:BR,,,ZED:FR,,,ZED:FL,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
30,0,-998.194519,676.94281,1046.009277,-1104.830444,811.349487,813.723511,-1116.600098,574.109497,797.10144,-899.758606,588.119873,813.141235,-892.375122,776.4021,809.284363
31,0,-998.199951,676.933777,1046.015015,-1104.817383,811.325562,813.737244,-1116.58313,574.104309,797.082336,-899.763,588.11261,813.154358,-892.373291,776.394958,809.279114
32,0,-998.193237,676.93457,1046.014526,-1104.827881,811.34314,813.734558,-1116.600342,574.115784,797.106323,-899.770569,588.128052,813.136353,-892.37262,776.40387,809.286316
33,0,-998.198792,676.93396,1046.016602,-1104.817749,811.354492,813.732605,-1116.609131,574.108276,797.106384,-899.760742,588.124268,813.15332,-892.360901,776.414795,809.28894
34,0,-998.195007,676.9328,1046.015015,-1104.815674,811.358337,813.738403,-1116.603638,574.10321,797.104065,-899.75946,588.119995,813.141663,-892.370667,776.413391,809.289307
35,0,-998.195374,676.93811,1046.022583,-1104.824951,811.349243,813.745911,-1116.588623,574.121582,797.086121,-899.757751,588.117371,813.151367,-892.37793,776.398987,809.283386
36,0,-998.197205,676.935364,1046.013672,-1104.821289,811.332703,813.728149,-1116.596558,574.103333,797.108582,-899.763367,588.119324,813.139893,-892.360962,776.415466,809.294189
37,0,-998.203674,676.945984,1046.013794,-1104.822388,811.351379,813.739075,-1116.599609,574.126831,797.108276,-899.757202,588.124451,813.142395,-892.365417,776.413513,809.287964
38,0,-998.19751,676.937378,1046.018677,-1104.825439,811.340515,813.73877,-1116.573608,574.1297,797.096741,-899.760681,588.116272,813.155518,-892.360352,776.420166,809.284607
39,0,-998.193298,676.937256,1046.022583,-1104.810303,811.332947,813.732605,-1116.594971,574.120117,797.102844,-899.758301,588.125061,813.14502,-892.368042,776.402649,809.277344
40,0,-998.199463,676.933716,1046.020752,-1104.824585,811.349487,813.741577,-1116.600952,574.109863,797.106689,-899.766968,588.13208,813.145081,-892.365906,776.411743,809.294067
41,0,-998.191895,676.933044,1046.015259,-1104.823364,811.345947,813.737122,-1116.583374,574.110657,797.086426,-899.762695,588.117554,813.136169,-892.373291,776.399475,809.300842
42,0,-998.195801,676.93457,1046.022827,-1104.834106,811.331299,813.73468,-1116.599243,574.112549,797.094238,-899.753723,588.129517,813.142334,-892.372559,776.397156,809.293884
43,0,-998.205383,676.944519,1046.008057,-1104.82251,811.352417,813.736938,-1116.610352,574.119446,797.116394,-899.765137,588.115173,813.135559,-892.359558,776.4198,809.29303
44,0,-998.19519,676.93927,1046.019531,-1104.829346,811.342041,813.750183,-1116.602661,574.112244,797.102417,-899.765137,588.111816,813.154419,-892.372131,776.403809,809.281677
45,0,-998.190613,676.940918,1046.003906,-1104.829224,811.352905,813.720581,-1116.602539,574.110107,797.104065,-899.763855,588.12262,813.139648,-892.37207,776.41217,809.284729
46,0,-998.20752,676.943787,1046.023682,-1104.823242,811.354614,813.739807,-1116.608643,574.115967,797.120972,-899.761536,588.129211,813.142273,-892.366089,776.408203,809.286743
47,0,-998.192444,676.942993,1046.005493,-1104.831787,811.340881,813.730652,-1116.61499,574.111572,797.118286,-899.759705,588.128235,813.144104,-892.365295,776.413818,809.279175
48,0,-998.201477,676.935242,1046.019775,-1104.830444,811.347778,813.721802,-1116.580078,574.115173,797.086426,-899.764038,588.117249,813.149536,-892.369934,776.406433,809.286621
49,0,-998.199219,676.938232,1046.021362,-1104.813354,811.364075,813.734924,-1116.595459,574.132324,797.112366,-899.764343,588.119812,813.154907,-892.358093,776.405884,809.273865
50,0,-998.203125,676.931885,1046.019897,-1104.818481,811.32373,813.733032,-1116.596191,574.111267,797.095093,-899.76416,588.10907,813.150635,-892.374756,776.401978,809.287903
51,0,-998.194519,676.941895,1046.003906,-1104.832031,811.340698,813.737244,-1116.606201,574.105713,797.112732,-899.771118,588.112671,813.131592,-892.363281,776.416382,809.289246
52,0,-998.201111,676.949402,1046.020508,-1104.805176,811.339233,813.736023,-1116.58667,574.105286,797.101807,-899.761658,588.120361,813.155334,-892.364136,776.412964,809.29071
53,0,-998.200989,676.932495,1046.014771,-1104.817383,811.361755,813.737244,-1116.624146,574.129578,797.124695,-899.757935,588.132446,813.137817,-892.262634,776.392761,809.317078
54,0,-998.193298,676.937012,1046.018188,-1104.828735,811.34491,813.720154,-1116.592163,574.130066,797.092224,-899.761292,588.117554,813.149719,-892.368042,776.411072,809.284485
55,0,-998.197144,676.93219,1046.024658,-1104.829956,811.341675,813.730591,-1116.605591,574.117371,797.11554,-899.765503,588.116333,813.146606,-892.262878,776.398071,809.318054
56,0,-998.202759,676.929443,1046.02124,-1104.83606,811.3302,813.732788,-1116.607178,574.120605,797.11792,-899.763794,588.104614,813.147156,-892.268433,776.387939,809.31842
57,0,-998.195679,676.933594,1046.024658,-1104.810181,811.337891,813.734375,-1116.589966,574.101501,797.108032,-899.76416,588.114624,813.15387,-892.299438,776.43219,809.337524
58,0,-998.194885,676.937012,1046.019409,-1104.820312,811.343811,813.733521,-1116.606445,574.097595,797.113342,-899.754456,588.113708,813.144653,-892.380554,776.401672,809.286682
59,0,-998.195862,676.937073,1046.018677,-1104.820679,811.356445,813.742615,-1116.589355,574.117371,797.113708,-899.755432,588.120728,813.145081,-892.374573,776.403442,809.288391
60,0,-998.201233,676.93457,1046.022583,-1104.833618,811.350952,813.740417,-1116.615234,574.123718,797.123535,-899.766174,588.102539,813.146606,-892.264893,776.392761,809.321533
61,0,-998.196411,676.937134,1046.014038,-1104.804443,811.369873,813.746338,-1116.60144,574.108826,797.110229,-899.753601,588.12439,813.138611,-892.3703,776.40387,809.278992
62,0,-998.197754,676.935486,1046.012939,-1104.821777,811.342285,813.734924,-1116.587158,574.105652,797.090637,-899.762146,588.114868,813.152954,-892.374878,776.401306,809.282898
63,0,-998.198669,676.936951,1046.010132,-1104.833618,811.335571,813.744751,-1116.601318,574.111816,797.108704,-899.760071,588.114441,813.139221,-892.358765,776.420532,809.293884
64,0,-998.204651,676.926453,1046.025146,-1104.834473,811.337158,813.735291,-1116.602539,574.116577,797.107361,-899.758606,588.119202,813.1521,-892.363159,776.414673,809.277588
65,0,-998.19989,676.952515,1046.008301,-1104.812134,811.357422,813.738892,-1116.610596,574.132751,797.115601,-899.754517,588.114197,813.141724,-892.369812,776.408997,809.286072
66,0,-998.202881,676.948608,1046.020264,-1104.809326,811.356567,813.74176,-1116.606934,574.112122,797.113647,-899.766296,588.127197,813.142639,-892.376587,776.406311,809.280945
67,0,-998.195801,676.936157,1046.013306,-1104.824341,811.348877,813.727112,-1116.602173,574.104248,797.108826,-899.760132,588.113159,813.150391,-892.3703,776.409851,809.291443
68,0,-998.203552,676.94458,1046.014038,-1104.800171,811.372314,813.746277,-1116.609375,574.110352,797.109985,-899.756226,588.11084,813.149353,-892.376953,776.399597,809.28125
69,0,-998.196777,676.933167,1046.015503,-1104.82959,811.337891,813.737183,-1116.593872,574.117737,797.114746,-899.757202,588.116394,813.139771,-892.268555,776.387512,809.310974
70,0,-998.196777,676.935608,1046.023804,-1104.827393,811.350586,813.734558,-1116.59436,574.093689,797.110229,-899.755859,588.114136,813.149475,-892.275696,776.395752,809.317566
71,0,-998.201599,676.942688,1046.008789,-1104.812866,811.345764,813.741211,-1116.589233,574.118042,797.107117,-899.76123,588.113831,813.139954,-892.367554,776.411804,809.289001
72,0,-998.198059,676.945679,1046.0177,-1104.827026,811.346558,813.734314,-1116.567749,574.115479,797.10083,-899.7547,588.115784,813.151428,-892.370483,776.410645,809.281921
73,0,-998.191833,676.936584,1046.012451,-1104.83252,811.34436,813.732361,-1116.592896,574.106689,797.11145,-899.763916,588.13269,813.144043,-892.37677,776.39679,809.283875
74,0,-998.194824,676.929626,1046.003662,-1104.827881,811.343262,813.742981,-1116.565674,574.109192,797.0849,-899.767883,588.107605,813.146729,-892.350098,776.401794,809.293762
75,0,-998.196899,676.943481,1046.017944,-1104.807495,811.344666,813.748108,-1116.606567,574.108826,797.118225,-899.758545,588.12085,813.138367,-892.363831,776.412903,809.283936
76,0,-998.197754,676.927734,1046.019287,-1104.831543,811.334229,813.748474,-1116.580688,574.122498,797.117004,-899.767334,588.103882,813.150452,-892.36853,776.412109,809.289368
77,0,-998.19342,676.934998,1046.021729,-1104.81543,811.351501,813.740234,-1116.591797,574.108826,797.110107,-899.755249,588.11554,813.155273,-892.267029,776.396545,809.311707
78,0,-998.192139,676.935669,1046.021118,-1104.820435,811.343567,813.736389,-1116.596313,574.109192,797.125488,-899.755005,588.11499,813.144958,-892.365967,776.409668,809.290649
79,0,-998.19281,676.934937,1046.020386,-1104.820923,811.345581,813.745972,-1116.589233,574.11145,797.101379,-899.76123,588.108398,813.151123,-892.260742,776.402649,809.321472
80,0,-998.197449,676.928528,1046.010376,-1104.817749,811.354858,813.747009,-1116.594971,574.109619,797.111694,-899.756165,588.120178,813.146545,-892.358826,776.394958,809.288208
81,0,-998.186707,676.934875,1046.014648,-1104.837891,811.328979,813.732117,-1116.562866,574.106384,797.087158,-899.75116,588.125183,813.147705,-892.360229,776.419312,809.292053
82,0,-998.197815,676.945618,1046.013794,-1104.816406,811.347656,813.736877,-1116.60376,574.113525,797.107483,-899.757141,588.108826,813.154236,-892.37262,776.409973,809.291809
83,0,-998.192261,676.933411,1046.016602,-1104.807617,811.345276,813.722778,-1116.558472,574.108154,797.084229,-899.757019,588.113159,813.152649,-892.370422,776.403687,809.289062
84,0,-998.189575,676.935547,1046.014038,-1104.7948,811.341064,813.741882,-1116.58313,574.102478,797.105103,-899.752686,588.11853,813.149841,-892.368896,776.411743,809.290405
85,0,-998.194397,676.931519,1046.02063,-1104.824585,811.341187,813.744263,-1116.565063,574.094482,797.090515,-899.760376,588.105713,813.156006,-892.373901,776.405945,809.287781
86,0,-998.191711,676.936951,1046.014771,-1104.802734,811.367432,813.744568,-1116.594604,574.121216,797.107727,-899.75708,588.122192,813.145325,-892.251343,776.405396,809.325073
87,0,-998.195923,676.92981,1046.011597,-1104.824707,811.349243,813.737244,-1116.600708,574.12738,797.117065,-899.759949,588.116272,813.150757,-892.364685,776.415161,809.29425
88,0,-998.19519,676.931458,1046.017578,-1104.804321,811.352234,813.740234,-1116.577148,574.104675,797.086853,-899.763672,588.116577,813.156982,-892.364258,776.412292,809.293945
89,0,-998.196655,676.934265,1046.010742,-1104.820801,811.346375,813.740906,-1116.592529,574.133545,797.12915,-899.756042,588.128723,813.137146,-892.375977,776.40918,809.285217
90,0,-998.19574,676.93158,1046.004028,-1104.814087,811.340454,813.739746,-1116.606812,574.112,797.108948,-899.766968,588.11908,813.154663,-892.270447,776.398376,809.319519
91,0,-998.191589,676.938416,1046.007202,-1104.814453,811.345825,813.732056,-1116.588989,574.107788,797.11908,-899.753052,588.130676,813.1427,-892.368958,776.406311,809.281067
92,0,-998.194092,676.933533,1046.02063,-1104.815063,811.357666,813.72699,-1116.603394,574.116333,797.123291,-899.760254,588.12793,813.145447,-892.366028,776.40979,809.288818
93,0,-998.198303,676.925293,1046.022827,-1104.827271,811.345337,813.739807,-1116.574097,574.12085,797.088379,-899.770935,588.110474,813.148376,-892.353394,776.41687,809.287537
94,0,-998.19928,676.93573,1046.023926,-1104.833008,811.33429,813.737244,-1116.590454,574.12207,797.107849,-899.757263,588.132385,813.144592,-892.377136,776.402649,809.290588
95,0,-998.204041,676.947449,1046.013672,-1104.829224,811.348816,813.727051,-1116.608154,574.126953,797.122986,-899.763123,588.112244,813.149841,-892.260864,776.401184,809.317078
96,0,-998.19696,676.938232,1046.018433,-1104.807983,811.36084,813.74707,-1116.592285,574.139038,797.108276,-899.750305,588.129639,813.143311,-892.373413,776.406494,809.287476
97,0,-998.200928,676.933167,1046.023804,-1104.795654,811.349243,813.743042,-1116.600586,574.117615,797.109802,-899.759705,588.112183,813.151917,-892.361084,776.395996,809.291565
98,0,-998.197815,676.934509,1046.017578,-1104.815186,811.364319,813.740295,-1116.582642,574.11377,797.088806,-899.758728,588.120178,813.145996,-892.355896,776.426758,809.29364
99,0,-998.193237,676.937195,1046.012085,-1104.831543,811.34668,813.73407,-1116.605347,574.124695,797.113098,-899.758667,588.112244,813.141541,-892.37677,776.395081,809.280579
100,0,-998.197327,676.939575,1046.02478,-1104.784546,811.360474,813.73645,-1116.603149,574.110596,797.108582,-899.756165,588.115723,813.155212,-892.38092,776.400452,809.283997
101,0,-998.198181,676.932617,1046.011841,-1104.816162,811.358337,813.7323,-1116.605103,574.111389,797.11731,-899.76239,588.133545,813.142822,-892.257629,776.404968,809.324768
102,0,-998.205688,676.948364,1046.008667,-1104.811157,811.370056,813.737122,-1116.613525,574.114807,797.110474,-899.757996,588.116943,813.143555,-892.256409,776.398499,809.315125
103,0,-998.197327,676.935486,1046.016357,-1104.815186,811.351257,813.739624,-1116.602783,574.125854,797.111755,-899.762634,588.109863,813.153137,-892.376038,776.397095,809.279785
104,0,-998.195312,676.936584,1046.003296,-1104.817505,811.363892,813.738525,-1116.610596,574.122559,797.116699,-899.761047,588.111938,813.147705,-892.367432,776.410095,809.288513
105,0,-998.198059,676.939819,1046.013428,-1104.810547,811.361328,813.742371,-1116.607788,574.097412,797.10791,-899.766418,588.111145,813.143738,-892.371399,776.402161,809.28894
106,0,-998.200989,676.933105,1046.024292,-1104.831665,811.341614,813.741821,-1116.601074,574.14386,797.121582,-899.763123,588.114929,813.15155,-892.274658,776.396301,809.325195
107,0,-998.194458,676.934631,1046.022949,-1104.820068,811.356201,813.722046,-1116.58667,574.104004,797.088135,-899.763184,588.11853,813.141846,-892.359436,776.42218,809.289856
108,0,-998.200317,676.931946,1046.012939,-1104.806274,811.336792,813.737915,-1116.596191,574.131836,797.110779,-899.760742,588.120667,813.144531,-892.366211,776.408997,809.289917
109,0,-998.205322,676.943298,1046.014526,-1104.83313,811.350464,813.728943,-1116.586548,574.124939,797.081909,-899.757568,588.128235,813.140137,-892.359558,776.417236,809.291016
110,0,-998.196655,676.93634,1046.01416,-1104.792725,811.356873,813.737427,-1116.5802,574.120239,797.082092,-899.767639,588.115662,813.154236,-892.351379,776.426514,809.297485
111,0,-998.195129,676.939514,1046.016479,-1104.818481,811.345215,813.7453,-1116.611694,574.127686,797.111389,-899.757324,588.125854,813.141479,-892.376526,776.40448,809.286255
112,0,-998.194946,676.942749,1046.007324,-1104.807739,811.368958,813.74408,-1116.602539,574.112915,797.108154,-899.764343,588.127136,813.138855,-892.36615,776.416748,809.289429
113,0,-998.196289,676.936951,1046.020752,-1104.825439,811.343933,813.72644,-1116.587891,574.116211,797.098022,-899.759583,588.12207,813.140015,-892.37384,776.398926,809.299072
114,0,-998.193787,676.936279,1046.017944,-1104.812256,811.351196,813.739807,-1116.612915,574.119141,797.114746,-899.756897,588.112366,813.152405,-892.368225,776.405396,809.288574
115,0,-998.201843,676.928467,1046.012329,-1104.828857,811.344116,813.72113,-1116.600464,574.11908,797.106567,-899.772217,588.105713,813.130615,-892.370056,776.411255,809.285461
116,0,-998.197266,676.938416,1046.017944,-1104.815186,811.349304,813.741882,-1116.580688,574.12207,797.087219,-899.763062,588.112366,813.154907,-892.359985,776.411682,809.28656
117,0,-998.198608,676.936096,1046.02063,-1104.81958,811.323914,813.732361,-1116.604248,574.112366,797.108154,-899.76416,588.109802,813.141296,-892.355957,776.418762,809.289917
118,0,-998.19281,676.93811,1046.018311,-1104.817627,811.330566,813.735046,-1116.572632,574.09613,797.076355,-899.763916,588.114136,813.151306,-892.377319,776.401733,809.279236
119,0,-998.200012,676.936218,1046.018677,-1104.834595,811.335144,813.734802,-1116.611816,574.110596,797.120605,-899.768372,588.110901,813.147034,-892.364441,776.413818,809.291931
120,0,-998.195312,676.939636,1046.012695,-1104.81543,811.347107,813.74231,-1116.60144,574.09137,797.106567,-899.766541,588.119446,813.133667,-892.373657,776.398315,809.292053
121,0,-998.197083,676.936096,1046.014648,-1104.82251,811.351196,813.741699,-1116.612061,574.120361,797.105957,-899.766785,588.112305,813.152344,-892.364441,776.413696,809.288025
122,0,-998.198547,676.934509,1046.017578,-1104.831787,811.335999,813.736572,-1116.586548,574.098694,797.091125,-899.763794,588.115479,813.143677,-892.370422,776.404419,809.280762
123,0,-998.198853,676.932007,1046.017578,-1104.82019,811.353638,813.737549,-1116.609619,574.105591,797.109985,-899.759583,588.120605,813.136047,-892.36499,776.411804,809.288696
124,0,-998.197205,676.936523,1046.014404,-1104.817505,811.350464,813.737854,-1116.56897,574.099731,797.084961,-899.764648,588.11499,813.144653,-892.378052,776.402588,809.28772
125,0,-998.201599,676.932739,1046.020386,-1104.821045,811.324951,813.733948,-1116.589844,574.133545,797.107361,-899.766968,588.112732,813.146973,-892.364563,776.411926,809.291443
126,0,-998.195984,676.939453,1046.015015,-1104.830078,811.341675,813.744202,-1116.610107,574.12384,797.105469,-899.758667,588.12616,813.135986,-892.364868,776.409607,809.287415
127,0,-998.200928,676.931213,1046.016602,-1104.829346,811.345703,813.740112,-1116.590332,574.09613,797.10376,-899.767761,588.124939,813.137695,-892.370605,776.406677,809.282776
128,0,-998.200134,676.933105,1046.016235,-1104.832153,811.339233,813.719971,-1116.593384,574.118347,797.101379,-899.763916,588.111206,813.138062,-892.371704,776.410583,809.295837
129,0,-998.202026,676.930786,1046.019653,-1104.816162,811.359192,813.72113,-1116.594727,574.124573,797.10083,-899.764343,588.116577,813.142273,-892.266724,776.39624,809.322388
130,0,-998.208984,676.92572,1046.016724,-1104.832886,811.337036,813.744507,-1116.600464,574.105835,797.096313,-899.765198,588.112244,813.145813,-892.367432,776.408386,809.293701
131,0,-998.197754,676.934082,1046.011719,-1104.821899,811.355835,813.740845,-1116.602539,574.115356,797.117859,-899.764221,588.110352,813.141541,-892.370239,776.404236,809.283508
132,0,-998.200134,676.934448,1046.016724,-1104.833984,811.334412,813.737,-1116.600586,574.117798,797.10144,-899.771973,588.098083,813.142151,-892.370239,776.41217,809.284912
133,0,-998.196655,676.936646,1046.011108,-1104.832764,811.337402,813.740601,-1116.593628,574.10675,797.102112,-899.770691,588.114746,813.131592,-892.365051,776.407654,809.287354
134,0,-998.209351,676.924683,1046.016479,-1104.822144,811.362244,813.740356,-1116.612671,574.105774,797.107666,-899.762512,588.117981,813.145569,-892.361023,776.41333,809.293091
135,0,-998.200684,676.930298,1046.01001,-1104.840942,811.328674,813.73822,-1116.614868,574.123047,797.109558,-899.770386,588.102417,813.142578,-892.364868,776.417297,809.288452
136,0,-998.200928,676.93103,1046.011719,-1104.834473,811.341431,813.741089,-1116.605835,574.111511,797.104248,-899.758667,588.120422,813.136841,-892.371094,776.402588,809.286377
137,0,-998.200684,676.931335,1046.019165,-1104.821899,811.357971,813.732788,-1116.585327,574.100281,797.092346,-899.76886,588.110352,813.150513,-892.370056,776.410461,809.282471
138,0,-998.206787,676.926208,1046.014771,-1104.824463,811.340149,813.728333,-1116.609619,574.092285,797.100647,-899.76532,588.130005,813.139038,-892.365784,776.423645,809.288574
139,0,-998.207642,676.926453,1046.015015,-1104.826172,811.3479,813.73822,-1116.582397,574.127869,797.088013,-899.766602,588.103821,813.149231,-892.372498,776.403992,809.290466
140,0,-998.200928,676.93457,1046.022461,-1104.813599,811.360229,813.738525,-1116.592529,574.116577,797.106934,-899.760254,588.109558,813.139099,-892.365417,776.412842,809.292358
141,0,-998.197021,676.937866,1046.019409,-1104.828735,811.335327,813.733887,-1116.593994,574.118286,797.109314,-899.768066,588.103943,813.146301,-892.366089,776.412048,809.289429
142,0,-998.199768,676.933167,1046.021606,-1104.812378,811.330566,813.746399,-1116.605103,574.123962,797.114441,-899.75708,588.1073,813.143799,-892.2771,776.384644,809.316895
143,0,-998.200806,676.934021,1046.023193,-1104.820557,811.345581,813.741455,-1116.599121,574.115723,797.118347,-899.760803,588.109741,813.148071,-892.372253,776.404419,809.290161
